id,text,gold_label,scene
case-001,公积金贷款利率是多少,金融/贷款,clear
case-002,买车最多能贷多少钱,金融/贷款,clear
case-003,宝马金融贷款利息多少,金融/贷款,boundary
case-004,奔驰金融方案划算吗,,spec_gap
case-005,买比亚迪怎么分期,金融/贷款,boundary
case-006,汽车贷款首付最低多少,金融/贷款,boundary
case-007,零首付买车需要什么条件,金融/贷款,boundary
case-008,宝马三年分期利率高不高,金融/贷款,boundary
case-009,奔驰的融资租赁方案值不值,,spec_gap
case-010,特斯拉金融方案和全款哪个划算,,spec_gap
case-011,买奥迪首付三成月供多少,金融/贷款,boundary
case-012,车贷提前还款有没有违约金,金融/贷款,boundary
case-013,大众两年免息方案靠谱吗,,spec_gap
case-014,贷款买车选等额本息还是等额本金,金融/贷款,boundary
case-015,预算二十万买哪款SUV,汽车/购车,clear
case-016,宝马三系和奔驰C级怎么选,汽车/购车,clear
case-017,发动机故障灯亮了怎么办,汽车/维修,clear
case-018,这只基金近一年收益怎么样,金融/投资,clear
case-019,轮胎多久需要更换,汽车/维修,clear
case-020,混动汽车后期保养贵不贵,汽车/维修,clear
case-021,汽车金融贴息以后实际成本是多少,金融/贷款,boundary
case-022,厂家金融和银行车贷有什么区别,金融/贷款,boundary
case-023,五年分期买车总利息怎么算,金融/贷款,boundary
case-024,低息购车方案有没有隐藏费用,金融/贷款,boundary

